phase,vec,diffn,diffr,mixingh,mixinge
AM,7,0.12,6.35,-22.58,16.01
AM,4.38,0.2,11.08,-48.64,13.25
AM,7.5,0.29,11.25,-23,5.76
AM,7.5,0.16,6.84,-30,5.76
AM,9.2,0.16,9.29,-23.68,13.38
AM,4.2,0.26,15.25,-13.12,13.38
AM,5.33,0.35,18.14,-13.11,14.9
AM,4.11,0.26,15.63,-12.15,14.53
AM,4.4,0.3,13.74,-37.6,13.38
AM,4.4,0.11,7.84,-20,13.38
AM,6.8,0.22,9.24,-21.28,13.38
AM,4,0.11,4.57,0,5.76
AM,6.5,0.3,11.22,-3,5.76
AM,7,0.24,12.5,-49,5.76
AM,6,0.3,12.47,-4,5.76
AM,6.6,0.27,10.32,-27.36,13.38
AM,6.2,0.25,10.42,-15.84,13.38
AM,6.4,0.26,10.23,-23.52,13.38
AM,7,0.14,6.99,-17.18,16.01
AM,7.55,0.12,5.51,-7.93,14.7
AM,4.6,0.23,8.68,-34.08,13.38
AM,4.67,0.26,9.09,-16.11,14.9
AM,4.5,0.24,8.64,-32.19,17.29
SS,7,0.11,6.56,-21.22,13.21
SS,5.5,0.36,2.31,-6.5,11.53
SS,5.4,0.34,3.15,-4.64,13.38
SS,8.8,0.09,1.03,3.2,13.38
SS,8.47,0.1,3.42,0.16,14.43
SS,8.27,0.11,4.17,-1.52,14.7
SS,8,0.12,4.92,-3.61,14.87
SS,7.83,0.12,5.28,-4.78,14.9
SS,7.46,0.12,5.89,-7.05,14.78
SS,7.14,0.13,6.26,-8.65,14.53
SS,6.97,0.13,6.4,-9.38,14.35
SS,6.72,0.13,6.57,-10.28,14.01
SS,6.63,0.13,6.61,-10.56,13.86
SS,8.77,0.1,2.94,0.12,12.01
SS,8.56,0.11,3.86,-1.7,12.45
SS,8.36,0.12,4.49,-3.27,12.72
SS,8.17,0.12,4.96,-4.61,12.88
SS,8,0.12,5.32,-5.78,12.98
SS,7.84,0.13,5.6,-6.78,13.02
SS,7.73,0.12,5.45,-4.5,14.7
SS,8,0.12,5.44,-5.02,14.7
SS,7.55,0.12,5.51,-7.93,14.7
SS,7.82,0.12,5.4,-5.55,14.7
SS,7.64,0.12,5.43,-3.9,14.7
SS,8.56,0.09,0.84,0.49,13.15
SS,8,0.11,4.37,-4.6,14.53
SS,7.55,0.12,5.51,-7.93,14.7
SS,7.17,0.13,6.12,-10.14,14.53
SS,6.85,0.13,6.46,-11.6,14.23
SS,7.22,0.12,5.92,-7.7,13.15
SS,7.4,0.12,5.71,-7.92,14.53
SS,7.55,0.12,5.51,-7.93,14.7
SS,7.67,0.12,5.33,-7.83,14.53
SS,7.77,0.12,5.17,-7.67,14.23
SS,7.93,0.11,4.88,-7.25,13.48
SS,8,0.11,4.75,-7.03,13.09
SS,7.89,0.11,5.9,-8.69,13.15
SS,7.7,0.12,5.7,-8.32,14.53
SS,7.55,0.12,5.51,-7.93,14.7
SS,7.42,0.12,5.34,-7.56,14.53
SS,7.31,0.12,5.18,-7.2,14.23
SS,7.44,0.13,5.81,-10.17,13.15
SS,7.5,0.13,5.66,-8.92,14.53
SS,7.55,0.12,5.51,-7.93,14.7
SS,7.58,0.12,5.37,-7.14,14.53
SS,7.62,0.11,5.23,-6.49,14.23
SS,7,0.12,5.87,-6.12,13.15
SS,7.3,0.12,5.68,-7.28,14.53
SS,7.55,0.12,5.51,-7.93,14.7
SS,7.75,0.12,5.35,-8.28,14.53
SS,7.92,0.12,5.2,-8.43,14.23
SS,8.07,0.12,5.06,-8.45,13.87
SS,8.2,0.12,4.93,-8.39,13.48
SS,8.4,0.14,3.2,2.72,13.38
SS,8,0.14,3.27,-4.16,13.38
SS,8.09,0.14,4.21,-0.27,14.43
SS,7.91,0.14,4.66,-1.92,14.7
SS,7.66,0.14,5.15,-3.97,14.87
SS,7.5,0.14,5.39,-5.11,14.9
SS,7.92,0.14,4.96,-1.74,14.74
SS,7.68,0.14,5.08,-3.31,14.74
SS,7.6,0.15,5.05,-4.23,14.74
SS,7.29,0.12,6.13,-18.86,16.18
SS,6.6,0.22,8.54,-17.24,19.14
AM,5.03,0.22,13.96,-35.2,12.18
AM,9.3,0.14,9.08,-24.88,10.64
AM,6.49,0.3,18.56,-33.35,13.66
AM,5.26,0.3,11.02,-8.45,9.45
AM,7.1,0.28,11.84,-24.88,8.79
AM,4.2,0.25,13.55,34.92,11.26
AM,6.9,0.29,18.4,-33.36,12
AM,6.54,0.2,16.72,-25.88,11.59
AM,9.22,0.17,9.64,-24.94,10.55
AM,4,0.26,13.47,-14.26,7.37
IM,6.6,0.22,8.54,-17.24,19.14
IM,7.4,0.14,6.68,-16.32,13.38
IM,7.5,0.14,5.49,-12,14.9
IM,7.33,0.15,6.29,-13.44,14.9
IM,7.5,0.15,5.5,-8.13,17.29
IM,7.43,0.15,7.24,-14.04,14.53
IM,3.8,0.16,10.95,-4.88,13.38
IM,6,0.2,11.48,-24.89,14.9
IM,8.14,0.13,5.7,-6.75,14.87
IM,8,0.14,6.12,-8.44,14.9
IM,7.73,0.14,6.26,-10.11,16
IM,7.62,0.14,6.54,-11.6,16.01
IM,7.51,0.14,6.76,-12.89,15.97
IM,7.41,0.15,6.94,-14.02,15.91
IM,7.31,0.15,7.09,-15.01,15.82
IM,7.22,0.15,7.21,-15.86,15.72
IM,7.13,0.15,7.31,-16.6,15.6
IM,7.95,0.12,4.09,-4.07,15.92
IM,7.86,0.12,4.07,-4.71,16
IM,7.77,0.12,4.04,-5.25,16.01
IM,6,0.24,9.42,-4.11,14.9
IM,6.46,0.15,7.5,-23.91,14.78
